antigen_id,antigen_host_class,antigen_host_order,antigen_host_family,antigen_host_genus,antigen_host_species,antigen_collection_location_continent,antigen_collection_location_country,antigen_collection_location_region,antigen_collection_year
EPI2545148,Aves,Not Specified,,,,Europe,France,,2022
EPI2689412,Aves,Anseriformes,Anatidae,,,Europe,Netherlands,Provincie Friesland,2022
EPI2800337,Aves,Not Specified,,,,Europe,Denmark,Region Syddanmark,2022
EPI2817719,Aves,Not Specified,,,,Europe,Denmark,Region Syddanmark,2022
EPI2671464,Aves,Charadriiformes,Laridae,,,Europe,Spain,,2023
EPI270220,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Vietnam,,2007
EPI806455,Aves,Anseriformes,Anatidae,,,Europe,Russian Federation,Tyva Republic,2009
EPI806465,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,Tyva Republic,2009
EPI107713,Aves,Anseriformes,Anatidae,,,Asia,China,,2010
EPI1778209,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2021
EPI1995156,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Spain,,2022
EPI2071680,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Sweden,Blekinge Lan,2022
EPI2179788,Aves,Not Specified,,,,Europe,Netherlands,South Holland,2022
EPI2244210,Aves,Falconiformes,Falconidae,Falco,peregrinus,Europe,Germany,Schleswig-Holstein,2022
EPI2428552,Aves,Not Specified,,,,North America,Canada,British Columbia,2022
EPI2428557,Aves,Not Specified,,,,North America,Canada,British Columbia,2022
EPI2545140,Aves,Not Specified,,,,Europe,France,,2022
EPI2545164,Aves,Not Specified,,,,Europe,France,,2022
EPI2649365,Mammalia,Carnivora,Felidae,Felis,catus,Europe,Sweden,Blekinge Lan,2022
EPI2706676,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI2706716,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI2857282,Aves,Not Specified,,,,Europe,Spain,,2022
EPI2049857,Aves,Struthioniformes,Struthionidae,Struthio,,Europe,Netherlands,,2023
EPI2176152,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,,2023
EPI2176160,,Not Specified,,,,Europe,Netherlands,,2023
EPI2176161,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2603424,Aves,Not Specified,,,,Europe,Latvia,,2023
EPI2697595,Mammalia,Carnivora,Canidae,,,Europe,Poland,Lesser Poland Voivodeship,2023
EPI3067535,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Netherlands,,2023
EPI1889103,Aves,Anseriformes,Anatidae,,,Asia,Bangladesh,,2013
EPI3084084,Aves,Not Specified,,,,Asia,Bangladesh,,2013
EPI550500,Aves,Anseriformes,Anatidae,,,Asia,Israel,,2015
EPI1995236,Aves,Not Specified,,,,Europe,Spain,,2022
EPI2067299,Aves,Not Specified,,,,Europe,Netherlands,"De Kreupel, Enkhuizen",2022
EPI2067315,Aves,Not Specified,,,,Europe,Netherlands,"De Kreupel, Enkhuizen",2022
EPI2067347,Aves,Not Specified,,,,Europe,Netherlands,"De Kreupel, Enkhuizen",2022
EPI2082717,Aves,Not Specified,,,,Europe,Netherlands,"De Kreupel, Enkhuizen",2022
EPI230658,Environment,Not Specified,,,,North America,Canada,Alberta,2022
EPI2545108,Aves,Not Specified,,,,Europe,France,,2022
EPI2545116,Aves,Not Specified,,,,Europe,France,,2022
EPI2545132,Aves,Not Specified,,,,Europe,France,,2022
EPI2545156,Aves,Not Specified,,,,Europe,France,,2022
EPI2706702,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI2706704,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI1941386,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Netherlands,,2023
EPI321289,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI424992,Aves,Not Specified,,,,Asia,Vietnam,,2012
EPI1330452,Aves,Not Specified,,,,Asia,Bangladesh,,2013
EPI2162788,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2013
EPI3084302,Aves,Not Specified,,,,Asia,Bangladesh,,2017
EPI3084329,Aves,Not Specified,,,,Asia,Bangladesh,,2017
EPI2175997,Aves,Struthioniformes,Struthionidae,Struthio,,Europe,Denmark,Region Midtjylland,2022
EPI2179868,Aves,Not Specified,,,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI1980411,Aves,Anseriformes,Anatidae,,,Europe,Italy,Ravenna,2023
EPI1980427,Aves,Anseriformes,Anatidae,,,Europe,Italy,Ravenna,2023
EPI1980443,Aves,Anseriformes,Anatidae,,,Europe,Italy,Ravenna,2023
EPI2013885,Aves,Not Specified,,,,Europe,Italy,Ravenna,2023
EPI2612987,Environment,Not Specified,,,,Europe,Italy,Ravenna,2023
EPI3194311,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Italy,Ravenna,2023
EPI321340,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI175641,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Qinghai Province,2008
EPI1517088,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI824042,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2012
EPI585420,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Austria,"Quarantine in Austria - origin from Bali, Indonesia",2013
EPI1905034,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2019
EPI2162845,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2019
EPI3084335,Aves,Not Specified,,,,Asia,Bangladesh,,2019
EPI2008565,Aves,Not Specified,,,,North America,United States,Maine,2022
EPI2053800,Aves,Not Specified,,,,North America,United States,,2022
EPI2082733,Aves,Not Specified,,,,Europe,Netherlands,"Den Oever, Waddenhaven",2022
EPI2082741,Aves,Not Specified,,,,Europe,Netherlands,"Den Oever, Waddenhaven",2022
EPI2100271,Aves,Anseriformes,Anatidae,Cygnus,olor,North America,United States,,2022
EPI2311303,Aves,Charadriiformes,Scolopacidae,Calidris,alba,North America,United States,Massachusetts,2022
EPI2689430,Aves,Not Specified,,,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI1398287,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,United Kingdom,England,2023
EPI2049865,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,,2023
EPI2132628,Aves,Not Specified,,,,Europe,Germany,Bavaria,2023
EPI41839,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,,2006
EPI41871,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,,2006
EPI585234,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Jakarta,2006
EPI321287,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI749153,Environment,Not Specified,,,,Asia,China,Jiangsu,2015
EPI749161,Environment,Not Specified,,,,Asia,China,Jiangsu,2015
EPI940801,Aves,Not Specified,,,,Asia,China,Jiangsu,2015
EPI940811,Aves,Not Specified,,,,Asia,China,Jiangsu,2015
EPI1778220,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2021
EPI1943857,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Sweden,Blekinge Lan,2022
EPI2008621,Aves,Not Specified,,,,North America,United States,Massachusetts,2022
EPI2022140,Aves,Anseriformes,Anatidae,,,Europe,United Kingdom,England,2022
EPI2029051,Aves,Not Specified,,,,Europe,France,,2022
EPI2067307,Aves,Not Specified,,,,Europe,Netherlands,"Wieringerwerf, Noorderdijkweg",2022
EPI2114287,Aves,Not Specified,,,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI2223264,Aves,Not Specified,,,,Europe,Sweden,Blekinge Lan,2022
EPI2223303,Aves,Not Specified,,,,Europe,Sweden,Blekinge Lan,2022
EPI2223311,Aves,Not Specified,,,,Europe,Sweden,Blekinge Lan,2022
EPI2296256,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Sweden,Blekinge Lan,2022
EPI2545124,Aves,Not Specified,,,,Europe,France,,2022
EPI2670206,Aves,Not Specified,,,,Europe,Netherlands,South Holland,2022
EPI2689458,Aves,Anseriformes,Anatidae,,,Europe,Netherlands,Provincie Noord-Holland,2022
EPI2706789,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI2780626,Aves,Not Specified,,,,Europe,France,,2022
EPI2780650,Aves,Not Specified,,,,Europe,France,,2022
EPI2930821,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,North America,Canada,British Columbia,2022
EPI2167271,Aves,Struthioniformes,Struthionidae,Struthio,,Europe,Finland,,2023
EPI2175965,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,Bavaria,2023
EPI2855965,Aves,Not Specified,,,,Europe,United Kingdom,England,2023
EPI2872855,Aves,Not Specified,,,,South America,Argentina,Provincia de Buenos Aires,2023
EPI559073,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2006
EPI284473,Aves,Not Specified,,,,Asia,Vietnam,,2007
EPI321315,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI2584976,Aves,Not Specified,,,,Asia,Indonesia,West Java,2016
EPI1943062,Aves,Anseriformes,Anatidae,,,Europe,Denmark,Region Sjaland,2022
EPI2086018,Aves,Passeriformes,Corvidae,Corvus,,North America,United States,Maine,2022
EPI2311439,Aves,Anseriformes,Anatidae,Somateria,mollissima,North America,United States,Maine,2022
EPI2428602,Aves,Not Specified,,,,North America,Canada,British Columbia,2022
EPI2737455,Aves,Anseriformes,Anatidae,,,Europe,Germany,Lower Saxony,2022
EPI2780642,Aves,Not Specified,,,,Europe,France,,2022
EPI2931850,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,Canada,Prince Edward Island,2022
EPI3073459,Aves,Not Specified,,,,Europe,France,,2022
EPI499478,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,Lower Saxony,2022
EPI2697666,Mammalia,Carnivora,Canidae,,,Europe,Austria,Vorarlberg,2023
EPI2742443,Aves,Not Specified,,,,Europe,Belgium,Provincie Oost-Vlaanderen,2023
EPI2944583,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2011
EPI424752,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI424792,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI424808,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425088,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425096,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425120,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425152,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425272,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425304,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425576,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425584,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425592,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI425664,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI1581333,Aves,Anseriformes,Anatidae,Anas,,Asia,Iran,,2015
EPI669125,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Israel,,2015
EPI726462,Aves,Not Specified,,,,Asia,Iran,,2015
EPI1957921,Aves,Anseriformes,Anatidae,Anser,,Europe,United Kingdom,England,2022
EPI2053704,Aves,Not Specified,,,,Europe,Sweden,Vastra Gotalands Lan,2022
EPI2071760,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Sweden,Hallands Lan,2022
EPI2132560,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,Schleswig-Holstein,2022
EPI2259455,Aves,Not Specified,,,,Europe,Sweden,Vastra Gotalands Lan,2022
EPI2291620,Aves,Not Specified,,,,North America,United States,Alaska,2022
EPI2311479,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,North America,United States,Massachusetts,2022
EPI2314255,Aves,Struthioniformes,Struthionidae,Struthio,,Europe,France,,2022
EPI2325826,Aves,Anseriformes,Anatidae,,,Europe,France,,2022
EPI2609494,Aves,Not Specified,,,,Europe,Poland,Pomeranian Voivodeship,2022
EPI2637116,Aves,Not Specified,,,,Europe,Poland,Pomeranian Voivodeship,2022
EPI2706728,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI2856157,Mammalia,Not Specified,,,,North America,Canada,British Columbia,2022
EPI2909518,Aves,Not Specified,,,,Europe,Iceland,,2022
EPI3073427,Mammalia,Not Specified,,,,Europe,France,,2022
EPI2072024,Aves,Anseriformes,Anatidae,Anser,anser,Europe,Sweden,Kalmar Lan,2023
EPI2300564,Aves,Not Specified,,,,Europe,Poland,Pomeranian Voivodeship,2023
EPI2437523,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Sweden,Kalmar Lan,2023
EPI2437539,Aves,Anseriformes,Anatidae,,,Europe,Sweden,Kalmar Lan,2023
EPI2801205,Aves,Anseriformes,Anatidae,Anser,anser,North America,United States,Oregon,2023
EPI2856279,Aves,Not Specified,,,,Europe,Spain,,2023
EPI2856693,Aves,Not Specified,,,,Europe,Spain,,2023
EPI3222660,Aves,Not Specified,,,,North America,United States,Oregon,2023
EPI3222708,Aves,Anseriformes,Anatidae,,,North America,United States,Oregon,2023
EPI3222832,Aves,Anseriformes,Anatidae,,,Europe,Belgium,Provincie West-Vlaanderen,2023
EPI348161,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Qinghai Province,2008
EPI352541,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Qinghai Province,2008
EPI235917,Environment,Not Specified,,,,Asia,Indonesia,Jakarta,2014
EPI486487,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,Jakarta,2014
EPI2584363,Aves,Anseriformes,Anatidae,,,Asia,Bangladesh,,2016
EPI1946078,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,"Haringvliet, Ventjagersplaten, Den Bommel",2022
EPI1995076,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Belgium,Provincie West-Vlaanderen,2022
EPI2022156,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,United Kingdom,England,2022
EPI2114312,Aves,Charadriiformes,Laridae,Sterna,hirundo,Europe,Netherlands,Provincie Zeeland,2022
EPI2122917,Aves,Anseriformes,Anatidae,Branta,leucopsis,Europe,Norway,Hordaland Fylke,2022
EPI2132584,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,Schleswig-Holstein,2022
EPI2191461,Aves,Not Specified,,,,Europe,Netherlands,"Texel, de Schorren",2022
EPI2223319,Aves,Not Specified,,,,Europe,Sweden,Blekinge Lan,2022
EPI2231769,Environment,Not Specified,,,,Europe,Netherlands,Provincie Zeeland,2022
EPI2243689,Aves,Not Specified,,,,Europe,Russian Federation,Kursk Oblast,2022
EPI2311471,Aves,Charadriiformes,Laridae,Sterna,hirundo,North America,United States,Massachusetts,2022
EPI2527993,Aves,Not Specified,,,,Europe,Germany,Lower Saxony,2022
EPI2703732,Aves,Not Specified,,,,Europe,Belgium,Provincie West-Vlaanderen,2022
EPI2780562,Aves,Not Specified,,,,Europe,Netherlands,"Texel, de Schorren",2022
EPI2780586,Aves,Not Specified,,,,Europe,Netherlands,"Texel, de Schorren",2022
EPI2780706,Aves,Not Specified,,,,Europe,France,,2022
EPI2842856,Aves,Not Specified,,,,North America,United States,North Dakota,2022
EPI1923236,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI1941394,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Netherlands,,2023
EPI1941402,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Netherlands,,2023
EPI1987722,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2008637,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2008645,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2008669,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2008685,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2008837,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2306981,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Sweden,Kalmar Lan,2023
EPI2626148,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2626156,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2626164,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2837132,Mammalia,Not Specified,,,,Europe,Italy,Venice,2023
EPI2906086,Aves,Not Specified,,,,Europe,Sweden,Kalmar Lan,2023
EPI3194303,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Italy,Ferrara,2023
EPI3194327,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Italy,Venice,2023
EPI3194351,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Italy,Venice,2023
EPI171532,Aves,Anseriformes,Anatidae,Anser,indicus,Asia,China,Qinghai Province,2006
EPI26653,Mammalia,Carnivora,Felidae,Felis,catus,Asia,Vietnam,,2012
EPI361760,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI361765,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Vietnam,,2012
EPI442737,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,Tinh Soc Trang,2012
EPI443806,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,Tinh Soc Trang,2012
EPI840324,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840340,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840353,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840388,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840400,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840420,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840464,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840470,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840484,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840500,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI840511,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI770648,Aves,Not Specified,,,,Asia,China,,2014
EPI2086050,Aves,Anseriformes,,,,North America,United States,Massachusetts,2022
EPI2088942,Aves,Not Specified,,,,Europe,Netherlands,"Enkhuizen, Ijsselmeer, De Kreupel",2022
EPI2428573,Aves,Not Specified,,,,North America,Canada,British Columbia,2022
EPI2428632,Aves,Not Specified,,,,North America,Canada,British Columbia,2022
EPI2428638,Aves,Not Specified,,,,North America,Canada,British Columbia,2022
EPI2540480,Aves,Not Specified,,,,Europe,Belgium,Provincie West-Vlaanderen,2022
EPI2706581,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI2706584,Aves,Galliformes,Phasianidae,Meleagris,,North America,Canada,British Columbia,2022
EPI2817695,Aves,Anseriformes,Anatidae,,,Europe,Denmark,Region Nordjylland,2022
EPI3222840,Aves,Anseriformes,Anatidae,,,Europe,Belgium,Provincie West-Vlaanderen,2022
EPI2415398,Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,Europe,Poland,,2023
EPI2905974,Aves,Not Specified,,,,Europe,Sweden,Stockholms Lan,2023
EPI321336,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI321337,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI356564,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI100472,Aves,Anseriformes,Anatidae,,,Asia,China,,2011
EPI124089,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,West Java,2013
EPI589004,Environment,Not Specified,,,,Asia,Cambodia,Khett Takev,2013
EPI589116,Environment,Not Specified,,,,Asia,Cambodia,Khett Takev,2013
EPI3115337,Aves,Charadriiformes,Laridae,Larus,ridibundus,Europe,United Kingdom,Scotland,2022
EPI2008717,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2061051,Mammalia,Not Specified,,,,Europe,Netherlands,,2023
EPI891874,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Xinjiang,2006
EPI136615,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Czech Republic,,2007
EPI171604,Aves,Galliformes,Phasianidae,Meleagris,,Asia,China,Qinghai Province,2007
EPI270260,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Vietnam,,2007
EPI321524,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,,2007
EPI314030,Aves,Anseriformes,Anatidae,,,Asia,Cambodia,,2013
EPI497946,Environment,Not Specified,,,,Asia,Cambodia,Krong Phnum Penh,2013
EPI1883976,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Europe,Denmark,Region Nordjylland,2022
EPI2021103,Aves,Anseriformes,Anatidae,,,Europe,Netherlands,"Den Oever, Waddenhaven",2022
EPI2071024,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Europe,United Kingdom,Scotland,2022
EPI2311359,Aves,Passeriformes,Corvidae,Corvus,,North America,United States,Massachusetts,2022
EPI2397292,Aves,Charadriiformes,Laridae,Rynchops,niger,Europe,Netherlands,"Den Oever, Waddenhaven",2022
EPI2397300,,Not Specified,,,,Europe,Netherlands,"Den Oever, Waddenhaven",2022
EPI2817703,Aves,Anseriformes,Anatidae,,,Europe,Denmark,Region Nordjylland,2022
EPI2140633,Aves,Anseriformes,Anatidae,,,Europe,Poland,Kuyavian-Pomeranian Voivodeship,2023
EPI2513407,Mammalia,Not Specified,,,,Europe,Poland,Greater Poland Voivodeship,2023
EPI2639827,Aves,Not Specified,,,,Europe,Italy,VE,2023
EPI2671574,Aves,Not Specified,,,,Europe,Spain,,2023
EPI2856644,Aves,Not Specified,,,,Europe,Spain,,2023
EPI2895391,Aves,Not Specified,,,,Europe,Poland,Greater Poland Voivodeship,2023
EPI321288,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI433336,Aves,Anseriformes,Anatidae,,,Asia,Kazakhstan,Kostanay,2007
EPI891873,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Kazakhstan,,2007
EPI492326,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2008
EPI499480,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2008
EPI1995037,Aves,Not Specified,,,,Europe,Netherlands,"Wieringerwerf, Noorderdijkweg",2022
EPI2156485,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,Kursk Oblast,2022
EPI2223241,Aves,Not Specified,,,,Europe,Sweden,Vastra Gotalands Lan,2022
EPI2243507,Aves,Not Specified,,,,Europe,Russian Federation,Kursk Oblast,2022
EPI2243555,Aves,Not Specified,,,,Europe,Russian Federation,Kursk Oblast,2022
EPI2243611,Aves,Not Specified,,,,Europe,Russian Federation,Kursk Oblast,2022
EPI2243681,Aves,Not Specified,,,,Europe,Russian Federation,Kursk Oblast,2022
EPI2243697,Aves,Not Specified,,,,Europe,Russian Federation,Kursk Oblast,2022
EPI2784330,Aves,Not Specified,,,,Europe,Belgium,Provincie Vlaams-Brabant,2022
EPI3093175,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Europe,Netherlands,"Wieringerwerf, Noorderdijkweg",2022
EPI3093183,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,"Wieringerwerf, Noorderdijkweg",2022
EPI3093199,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Europe,Netherlands,"Wieringerwerf, Noorderdijkweg",2022
EPI1985910,Aves,Anseriformes,,,,Europe,Sweden,Kalmar Lan,2023
EPI2008677,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2008693,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2008829,Aves,Not Specified,,,,Europe,Netherlands,,2023
EPI2510353,Aves,Not Specified,,,,Europe,Sweden,Kalmar Lan,2023
EPI2639859,Aves,Not Specified,,,,Europe,Italy,PD,2023
EPI2666879,Aves,Anseriformes,Anatidae,,,Europe,United Kingdom,England,2023
EPI2666887,Aves,Anseriformes,Anatidae,,,Europe,United Kingdom,England,2023
EPI2744798,Aves,Not Specified,,,,Europe,Sweden,Kalmar Lan,2023
EPI2856255,Aves,Not Specified,,,,Europe,Spain,,2023
EPI2895351,Aves,Not Specified,,,,Europe,Poland,Pomeranian Voivodeship,2023
EPI3194343,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Italy,Ferrara,2023
EPI3226859,Aves,Anseriformes,Anatidae,,,Europe,Netherlands,,2023
EPI3226867,Aves,Anseriformes,Anatidae,,,Europe,Netherlands,,2023
EPI3226883,Aves,Anseriformes,Anatidae,,,Europe,Netherlands,,2023
EPI166709,Aves,Anseriformes,Anatidae,,,Asia,Kazakhstan,Astana,2005
EPI153803,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Ukraine,,2006
EPI352497,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Ukraine,Kherson Oblast,2006
EPI398578,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,,2006
EPI237628,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Germany,Bavaria,2007
EPI237632,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2007
EPI237634,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2007
EPI237640,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2007
EPI2580039,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,West Sumatra,2009
EPI2580040,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,West Sumatra,2009
EPI284554,Aves,Not Specified,,,,Asia,Vietnam,,2009
EPI758761,Aves,Anseriformes,Anatidae,,,Asia,China,,2009
EPI758769,Aves,Anseriformes,Anatidae,,,Asia,China,,2009
EPI758793,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2009
EPI181624,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2010
EPI25026,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2010
EPI2580099,Environment,Not Specified,,,,Asia,Indonesia,East Kalimantan,2010
EPI324615,Aves,Not Specified,,,,Asia,Indonesia,,2010
EPI898105,Aves,Anseriformes,Anatidae,,,Europe,Russian Federation,,2010
EPI169338,Aves,Not Specified,,,,Asia,Vietnam,,2011
EPI2580042,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Yogyakarta Special Region,2011
EPI401519,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Japan,,2011
EPI2580031,Environment,Not Specified,,,,Asia,Indonesia,Yogyakarta Special Region,2012
EPI10293,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Banten,2013
EPI116487,,Not Specified,,,,Asia,Indonesia,East Java,2013
EPI14270,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,West Java,2013
EPI2580109,Environment,Not Specified,,,,Asia,Indonesia,West Java,2013
EPI559095,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Yogyakarta Special Region,2014
EPI424776,Aves,Not Specified,,,,Asia,Lebanon,,2016
EPI321517,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,,2007
